Table with row headers in column A and column headers in rows 5 through 6.;;;;;;;;;;
Table 4c.  Reported Voting and Registration of the Citizen Voting-Age Population, for States: November 2000;;;;;;;;;;
;;;;;;;;;;
(In thousands);;;;;;;;;;
STATE;Population 18 and over;Total citizen;;;Total registered;;;Total voted;;
;;Total;Percent citizen;Confidence interval;Total;Percent registered (18+);Confidence interval;Total;Percent voted (18+);Confidence interval
UNITED STATES;202,609;186,366;92.0;0.2;129,549;69.5;0.3;110,826;59.5;0.3
ALABAMA;3,278;3,233;98.6;0.6;2,411;74.6;2.3;1,953;60.4;2.6
ALASKA;412;399;96.8;1.0;299;74.9;2.5;270;67.7;2.7
ARIZONA;3,524;3,129;88.8;1.6;1,879;60.0;2.6;1,644;52.5;2.6
ARKANSAS;1,893;1,851;97.8;0.8;1,125;60.8;2.6;936;50.5;2.7
CALIFORNIA;24,749;19,837;80.2;0.9;13,061;65.8;1.1;11,489;57.9;1.2
COLORADO;3,049;2,854;93.6;1.3;1,954;68.5;2.5;1,633;57.2;2.7
CONNECTICUT;2,415;2,239;92.7;1.6;1,510;67.4;3.0;1,332;59.5;3.1
DELAWARE;567;543;95.9;1.2;385;70.8;2.7;352;64.8;2.9
DISTRICT OF COLUMBIA;407;373;91.5;1.7;295;79.2;2.5;267;71.7;2.8
FLORIDA;11,633;10,081;86.7;0.9;7,043;69.9;1.3;6,006;59.6;1.4
GEORGIA;5,775;5,553;96.1;0.9;3,528;63.5;2.3;2,827;50.9;2.4
HAWAII;855;771;90.1;1.8;402;52.2;3.2;340;44.1;3.2
IDAHO;927;892;96.1;1.0;569;63.9;2.5;500;56.1;2.5
ILLINOIS;8,859;8,118;91.6;0.9;5,911;72.8;1.5;5,030;62.0;1.6
INDIANA;4,380;4,303;98.3;0.7;3,000;69.7;2.5;2,564;59.6;2.6
IOWA;2,110;2,008;95.2;1.2;1,524;75.9;2.4;1,353;67.4;2.6
KANSAS;1,908;1,861;97.5;0.9;1,293;69.4;2.6;1,148;61.7;2.7
KENTUCKY;2,996;2,918;97.4;0.8;2,087;71.5;2.4;1,645;56.4;2.6
LOUISIANA;3,143;3,091;98.4;0.7;2,369;76.6;2.2;2,030;65.7;2.5
MAINE;979;966;98.7;0.7;786;81.4;2.3;677;70.1;2.7
MARYLAND;3,812;3,565;93.5;1.4;2,499;70.1;2.7;2,178;61.1;2.9
MASSACHUSETTS;4,614;4,246;92.0;1.1;3,244;76.4;1.8;2,772;65.3;2.0
MICHIGAN;7,231;6,963;96.3;0.6;4,996;71.7;1.5;4,343;62.4;1.7
MINNESOTA;3,506;3,407;97.2;0.9;2,688;78.9;2.2;2,376;69.8;2.5
MISSISSIPPI;2,029;2,001;98.6;0.6;1,465;73.2;2.4;1,213;60.6;2.6
MISSOURI;4,066;3,987;98.1;0.8;3,023;75.8;2.4;2,659;66.7;2.6
MONTANA;658;650;98.9;0.5;461;70.8;2.4;409;62.9;2.5
NEBRASKA;1,205;1,176;97.6;0.8;865;73.5;2.5;710;60.3;2.7
NEVADA;1,377;1,229;89.3;1.6;720;58.5;2.8;641;52.1;2.8
NEW HAMPSHIRE;902;857;95.0;1.3;628;73.2;2.8;571;66.6;3.0
NEW JERSEY;6,109;5,458;89.3;1.1;3,859;70.7;1.7;3,374;61.8;1.8
NEW MEXICO;1,261;1,188;94.3;1.2;750;63.1;2.6;647;54.4;2.7
NEW YORK;13,725;11,877;86.5;0.8;8,047;67.7;1.2;7,004;59.0;1.3
NORTH CAROLINA;5,629;5,335;94.8;0.9;3,720;69.7;1.8;2,995;56.1;2.0
NORTH DAKOTA;449;445;99.0;0.6;409;92.0;1.5;313;70.4;2.6
OHIO;8,301;8,143;98.1;0.5;5,561;68.3;1.6;4,823;59.2;1.6
OKLAHOMA;2,457;2,400;97.7;0.8;1,679;70.0;2.4;1,431;59.6;2.5
OREGON;2,515;2,295;91.3;1.6;1,714;74.7;2.5;1,529;66.6;2.7
PENNSYLVANIA;8,950;8,687;97.1;0.5;5,847;67.3;1.5;4,988;57.4;1.5
RHODE ISLAND;729;690;94.6;1.4;508;73.7;2.7;438;63.5;3.0
SOUTH CAROLINA;2,929;2,897;98.9;0.6;1,993;68.8;2.6;1,725;59.5;2.7
SOUTH DAKOTA;530;525;99.1;0.5;376;71.6;2.4;311;59.2;2.6
TENNESSEE;4,173;4,067;97.4;0.8;2,590;63.7;2.6;2,183;53.7;2.7
TEXAS;14,533;12,937;89.0;0.9;8,929;69.0;1.3;7,005;54.1;1.4
UTAH;1,472;1,378;93.6;1.2;953;69.1;2.4;829;60.2;2.6
VERMONT;458;451;98.5;0.7;330;73.1;2.6;290;64.2;2.9
VIRGINIA;5,177;4,912;94.9;1.1;3,317;67.5;2.4;2,962;60.3;2.5
WASHINGTON;4,314;4,078;94.5;1.2;2,852;69.9;2.6;2,527;62.0;2.7
WEST VIRGINIA;1,405;1,397;99.4;0.4;886;63.4;2.4;732;52.4;2.5
WISCONSIN;3,884;3,755;96.7;0.9;2,970;79.1;2.2;2,632;70.1;2.5
WYOMING;350;348;99.3;0.4;240;69.1;2.5;219;62.9;2.6
;;;;;;;;;;
Source:  U.S. Census Bureau;;;;;;;;;;
Internet Release date:  February 27, 2002;;;;;;;;;;
Last Revised:  February 24, 2004;;;;;;;;;;
