Table with row headers in column A and column headers in rows 5 through 6.;;;;;;;;;
Table 4c. Reported Voting and Registration of the Citizen Voting-Age Population, for States: November 2004;;;;;;;;;
(In thousands);;;;;;;;;
;;;;;;;;;
STATE;Total citizen;;;Total registered;;;Total voted;;
;Total  ;Percent citizen;Margin of error1;Total  ;Percent registered (citizen);Margin of error1;Total  ;Percent voted (citizen);Margin of error1
UNITED STATES;197,005;91.3;0.2;142,070;72.1;0.3;125,736;63.8;0.3
ALABAMA;3,257;97.8;0.7;2,418;74.2;2.1;2,060;63.2;2.3
ALASKA;434;96.2;0.9;334;77.0;1.9;293;67.6;2.2
ARIZONA;3,508;85.1;1.7;2,485;70.8;2.1;2,239;63.8;2.3
ARKANSAS;1,942;96.6;0.9;1,328;68.4;2.3;1,140;58.7;2.5
CALIFORNIA;20,693;79.3;0.9;14,193;68.6;1.0;12,807;61.9;1.0
COLORADO;3,109;91.5;1.1;2,307;74.2;1.7;2,097;67.5;1.9
CONNECTICUT;2,409;92.5;1.1;1,695;70.3;1.9;1,524;63.2;2.0
DELAWARE;579;94.6;1.1;415;71.6;2.2;385;66.4;2.3
DISTRICT OF COLUMBIA;390;89.6;1.5;293;75.2;2.2;270;69.2;2.3
FLORIDA;11,469;87.3;0.9;8,219;71.7;1.2;7,372;64.3;1.3
GEORGIA;5,866;92.6;1.2;3,948;67.3;2.2;3,332;56.8;2.3
HAWAII;852;90.8;1.4;497;58.4;2.3;433;50.8;2.3
IDAHO;948;95.3;1.0;663;69.9;2.2;585;61.6;2.4
ILLINOIS;8,640;92.9;0.8;6,437;74.5;1.3;5,672;65.6;1.4
INDIANA;4,435;97.8;0.6;3,031;68.3;1.9;2,598;58.6;2.0
IOWA;2,136;96.6;0.8;1,674;78.4;1.8;1,522;71.3;1.9
KANSAS;1,851;93.1;1.1;1,338;72.3;2.0;1,188;64.2;2.1
KENTUCKY;2,969;97.6;0.7;2,231;75.1;2.0;1,930;65.0;2.2
LOUISIANA;3,218;98.2;0.7;2,413;75.0;2.2;2,067;64.2;2.4
MAINE;1,007;98.5;0.5;824;81.8;1.6;736;73.1;1.8
MARYLAND;3,678;91.0;1.2;2,676;72.7;1.9;2,413;65.6;2.0
MASSACHUSETTS;4,497;92.9;1.0;3,483;77.5;1.6;3,085;68.6;1.8
MICHIGAN;7,177;96.3;0.6;5,364;74.7;1.5;4,818;67.1;1.6
MINNESOTA;3,645;96.8;0.7;3,080;84.5;1.5;2,887;79.2;1.7
MISSISSIPPI;2,049;98.4;0.7;1,510;73.7;2.3;1,263;61.7;2.6
MISSOURI;4,106;96.8;0.8;3,336;81.2;1.7;2,815;68.5;2.0
MONTANA;687;99.6;0.3;519;75.5;2.2;482;70.2;2.4
NEBRASKA;1,215;93.9;1.1;918;75.5;2.0;793;65.3;2.2
NEVADA;1,477;87.0;1.4;965;65.3;1.9;871;58.9;2.0
NEW HAMPSHIRE;948;96.5;0.8;716;75.6;1.8;677;71.5;1.9
NEW JERSEY;5,591;87.2;1.1;4,085;73.1;1.5;3,693;66.0;1.6
NEW MEXICO;1,301;94.6;1.2;936;72.0;2.3;837;64.4;2.5
NEW YORK;12,779;88.2;0.8;8,624;67.5;1.1;7,698;60.2;1.1
NORTH CAROLINA;5,923;94.8;0.8;4,292;72.5;1.7;3,639;61.4;1.8
NORTH DAKOTA;462;99.1;0.5;412;89.3;1.5;330;71.5;2.1
OHIO;8,305;98.1;0.5;6,003;72.3;1.5;5,485;66.1;1.5
OKLAHOMA;2,476;95.2;1.0;1,781;71.9;2.1;1,541;62.3;2.3
OREGON;2,600;95.3;0.9;2,049;78.8;1.8;1,924;74.0;2.0
PENNSYLVANIA;9,055;96.8;0.5;6,481;71.6;1.3;5,845;64.5;1.4
RHODE ISLAND;732;90.0;1.2;522;71.3;1.8;467;63.7;1.9
SOUTH CAROLINA;3,002;98.1;0.6;2,238;74.6;2.0;1,899;63.2;2.2
SOUTH DAKOTA;554;98.2;0.6;425;76.8;1.8;378;68.3;2.0
TENNESSEE;4,250;96.5;0.9;2,739;64.4;2.4;2,319;54.6;2.5
TEXAS;13,925;88.1;0.9;9,681;69.5;1.2;7,950;57.1;1.3
UTAH;1,508;92.5;1.2;1,141;75.7;2.0;1,022;67.8;2.2
VERMONT;469;97.2;0.7;354;75.6;1.8;316;67.3;2.0
VIRGINIA;4,971;92.7;1.2;3,441;69.2;2.0;3,134;63.1;2.1
WASHINGTON;4,220;91.8;1.2;3,133;74.2;1.9;2,851;67.6;2.1
WEST VIRGINIA;1,394;99.9;0.1;935;67.1;2.1;798;57.2;2.2
WISCONSIN;3,928;95.2;0.8;3,225;82.1;1.5;3,010;76.6;1.7
WYOMING;370;99.1;0.4;265;71.6;2.1;247;66.9;2.2
;;;;;;;;;
Footnotes:;;;;;;;;;
1This figure added to or subtracted from the estimate provides the 90-percent confidence interval.;;;;;;;;;
;;;;;;;;;
Source: U.S. Census Bureau, Current Population Survey, November 2004.;;;;;;;;;
Internet Release date: May 25, 2005;;;;;;;;;
