Table with row headers in column A and column headers in rows 4 and 5.;;;;;;;;;;;;
Table 4a.  Reported Voting and Registration of the Citizen Voting-Age Population, for States: November 2012;;;;;;;;;;;;
(in thousands);;;;;;;;;;;;
STATE;Total Population;Total Citizen Population;Registered;;;;;Voted;;;;
;;;Total registered;"Percent registered
(Total)";Margin of Error 1;"Percent registered
(Citizen)";Margin of Error ;Total voted;"Percent voted
(Total)";Margin of Error ;"Percent voted
(Citizen)";Margin of Error 
UNITED STATES;235,248;215,081;153,157;65.1;0.3;71.2;0.3;132,948;56.5;0.3;61.8;0.3
ALABAMA;3,594;3,479;2,556;71.1;2.2;73.5;2.2;2,154;59.9;2.4;61.9;2.4
ALASKA;516;495;361;69.9;2.4;72.8;2.4;289;56.0;2.6;58.4;2.6
ARIZONA;4,863;4,314;2,812;57.8;2.1;65.2;2.2;2,412;49.6;2.2;55.9;2.3
ARKANSAS;2,198;2,109;1,376;62.6;2.4;65.3;2.4;1,124;51.1;2.5;53.3;2.6
CALIFORNIA;28,357;23,419;15,356;54.2;0.9;65.6;0.9;13,462;47.5;0.9;57.5;1.0
COLORADO;3,817;3,544;2,635;69.0;2.3;74.4;2.2;2,495;65.4;2.3;70.4;2.3
CONNECTICUT;2,726;2,499;1,760;64.6;2.5;70.4;2.5;1,568;57.5;2.5;62.7;2.6
DELAWARE;693;641;470;67.8;2.4;73.3;2.4;431;62.2;2.5;67.3;2.5
DISTRICT OF COLUMBIA;517;461;385;74.4;2.3;83.4;2.1;350;67.7;2.5;75.9;2.4
FLORIDA;15,034;13,326;9,102;60.5;1.2;68.3;1.2;8,107;53.9;1.2;60.8;1.3
GEORGIA;7,179;6,738;4,767;66.4;1.7;70.7;1.7;4,168;58.1;1.7;61.9;1.8
HAWAII;1,013;930;547;54.1;2.4;58.9;2.5;480;47.4;2.4;51.6;2.6
IDAHO;1,129;1,064;745;65.9;2.4;70.0;2.3;679;60.2;2.4;63.9;2.5
ILLINOIS;9,651;8,831;6,425;66.6;1.4;72.7;1.4;5,428;56.2;1.5;61.5;1.6
INDIANA;4,852;4,724;3,270;67.4;2.0;69.2;2.0;2,801;57.7;2.1;59.3;2.1
IOWA;2,320;2,232;1,745;75.2;2.3;78.2;2.2;1,548;66.7;2.5;69.4;2.5
KANSAS;2,120;1,973;1,467;69.2;2.4;74.4;2.4;1,249;58.9;2.6;63.3;2.6
KENTUCKY;3,291;3,194;2,303;70.0;2.4;72.1;2.4;1,895;57.6;2.6;59.3;2.6
LOUISIANA;3,321;3,239;2,498;75.2;2.2;77.1;2.2;2,148;64.7;2.4;66.3;2.4
MAINE;1,042;1,020;787;75.5;2.4;77.1;2.4;700;67.2;2.7;68.6;2.7
MARYLAND;4,449;4,007;2,888;64.9;2.2;72.1;2.2;2,609;58.7;2.2;65.1;2.3
MASSACHUSETTS;5,170;4,774;3,759;72.7;1.8;78.7;1.8;3,382;65.4;2.0;70.8;2.0
MICHIGAN;7,496;7,228;5,620;75.0;1.5;77.8;1.5;4,832;64.5;1.7;66.8;1.7
MINNESOTA;4,055;3,903;3,085;76.1;2.0;79.0;1.9;2,859;70.5;2.1;73.2;2.1
MISSISSIPPI;2,166;2,130;1,794;82.8;2.0;84.2;1.9;1,588;73.3;2.3;74.5;2.3
MISSOURI;4,521;4,409;3,384;74.8;1.9;76.7;1.9;2,818;62.3;2.2;63.9;2.2
MONTANA;768;754;553;72.0;2.3;73.3;2.3;495;64.5;2.4;65.7;2.4
NEBRASKA;1,371;1,296;901;65.7;2.5;69.5;2.5;798;58.2;2.6;61.6;2.6
NEVADA;2,039;1,808;1,176;57.7;2.5;65.0;2.6;1,048;51.4;2.5;57.9;2.6
NEW HAMPSHIRE;1,028;991;752;73.1;2.4;75.9;2.3;688;66.9;2.5;69.4;2.5
NEW JERSEY;6,730;5,929;4,326;64.3;1.8;73.0;1.7;3,670;54.5;1.8;61.9;1.9
NEW MEXICO;1,553;1,426;978;63.0;2.5;68.6;2.5;878;56.5;2.5;61.6;2.6
NEW YORK;15,066;13,082;8,887;59.0;1.2;67.9;1.2;7,675;50.9;1.2;58.7;1.3
NORTH CAROLINA;7,265;6,712;5,295;72.9;1.6;78.9;1.5;4,624;63.7;1.7;68.9;1.7
NORTH DAKOTA;528;514;383;72.5;2.3;74.5;2.3;328;62.2;2.5;63.9;2.5
OHIO;8,750;8,550;6,076;69.4;1.5;71.1;1.5;5,395;61.7;1.6;63.1;1.6
OKLAHOMA;2,808;2,733;1,806;64.3;2.5;66.1;2.5;1,431;51.0;2.6;52.4;2.6
OREGON;2,998;2,806;2,086;69.6;2.4;74.3;2.3;1,897;63.3;2.5;67.6;2.5
PENNSYLVANIA;9,847;9,452;6,795;69.0;1.4;71.9;1.4;5,824;59.1;1.5;61.6;1.5
RHODE ISLAND;817;751;552;67.5;2.5;73.5;2.5;469;57.4;2.7;62.5;2.7
SOUTH CAROLINA;3,516;3,380;2,479;70.5;2.3;73.3;2.3;2,187;62.2;2.4;64.7;2.4
SOUTH DAKOTA;616;607;454;73.7;2.1;74.8;2.1;370;60.1;2.4;61.0;2.4
TENNESSEE;4,849;4,678;3,210;66.2;2.0;68.6;2.0;2,606;53.7;2.1;55.7;2.2
TEXAS;18,642;16,062;10,749;57.7;1.1;66.9;1.1;8,643;46.4;1.1;53.8;1.2
UTAH;1,917;1,793;1,138;59.4;2.3;63.5;2.4;1,022;53.3;2.4;57.0;2.4
VERMONT;496;487;357;72.0;2.5;73.4;2.5;308;62.1;2.7;63.3;2.7
VIRGINIA;6,094;5,645;4,210;69.1;1.8;74.6;1.7;3,778;62.0;1.9;66.9;1.9
WASHINGTON;5,230;4,832;3,533;67.6;2.0;73.1;1.9;3,172;60.7;2.0;65.6;2.1
WEST VIRGINIA;1,452;1,442;982;67.6;2.2;68.1;2.2;690;47.5;2.4;47.8;2.4
WISCONSIN;4,352;4,247;3,318;76.3;1.9;78.1;1.9;3,127;71.9;2.0;73.6;2.0
WYOMING;427;419;268;62.8;2.6;63.9;2.6;247;57.8;2.6;58.9;2.6
Source: U.S. Census Bureau, Current Population Survey, November 2012;;;;;;;;;;;;
;;;;;;;;;;;;
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.;;;;;;;;;;;;
